COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;8220;La Vallée de l'Arve;CHAR;4
CODGEO;Code géographique;Code géographique;8221;Le Mont Blanc;CHAR;4
CODGEO;Code géographique;Code géographique;8222;Le Chablais;CHAR;4
CODGEO;Code géographique;Code géographique;8301;Montluçon;CHAR;4
CODGEO;Code géographique;Code géographique;8302;Moulins;CHAR;4
CODGEO;Code géographique;Code géographique;8303;Vichy;CHAR;4
CODGEO;Code géographique;Code géographique;8304;Aurillac;CHAR;4
CODGEO;Code géographique;Code géographique;8305;Mauriac;CHAR;4
CODGEO;Code géographique;Code géographique;8306;Saint-Flour;CHAR;4
CODGEO;Code géographique;Code géographique;8307;Brioude;CHAR;4
CODGEO;Code géographique;Code géographique;8308;Le Puy-en-Velay;CHAR;4
CODGEO;Code géographique;Code géographique;8309;Ambert;CHAR;4
CODGEO;Code géographique;Code géographique;8310;Clermont-Ferrand;CHAR;4
CODGEO;Code géographique;Code géographique;8311;Issoire;CHAR;4
CODGEO;Code géographique;Code géographique;8312;Thiers;CHAR;4
CODGEO;Code géographique;Code géographique;9101;Carcassonne;CHAR;4
CODGEO;Code géographique;Code géographique;9102;Limoux;CHAR;4
CODGEO;Code géographique;Code géographique;9103;Narbonne;CHAR;4
CODGEO;Code géographique;Code géographique;9104;Alès;CHAR;4
CODGEO;Code géographique;Code géographique;9105;Bagnols-sur-Cèze;CHAR;4
CODGEO;Code géographique;Code géographique;9106;Nîmes;CHAR;4
CODGEO;Code géographique;Code géographique;9107;Agde - Pézenas;CHAR;4
CODGEO;Code géographique;Code géographique;9108;Béziers;CHAR;4
CODGEO;Code géographique;Code géographique;9109;Clermont-l'Hérault - Lodève;CHAR;4
CODGEO;Code géographique;Code géographique;9110;Ganges;CHAR;4
CODGEO;Code géographique;Code géographique;9111;Montpellier;CHAR;4
CODGEO;Code géographique;Code géographique;9112;Sète;CHAR;4
CODGEO;Code géographique;Code géographique;9113;La Lozère;CHAR;4
CODGEO;Code géographique;Code géographique;9114;Céret;CHAR;4
CODGEO;Code géographique;Code géographique;9115;Perpignan;CHAR;4
CODGEO;Code géographique;Code géographique;9116;Prades;CHAR;4
CODGEO;Code géographique;Code géographique;9301;Digne-les-Bains;CHAR;4
CODGEO;Code géographique;Code géographique;9302;Manosque;CHAR;4
CODGEO;Code géographique;Code géographique;9303;Briançon;CHAR;4
CODGEO;Code géographique;Code géographique;9304;Gap;CHAR;4
CODGEO;Code géographique;Code géographique;9305;Cannes - Antibes;CHAR;4
CODGEO;Code géographique;Code géographique;9306;Menton - Vallée de la Roya;CHAR;4
CODGEO;Code géographique;Code géographique;9307;Nice;CHAR;4
CODGEO;Code géographique;Code géographique;9308;Aix-en-Provence;CHAR;4
CODGEO;Code géographique;Code géographique;9309;Arles;CHAR;4
CODGEO;Code géographique;Code géographique;9310;Marseille - Aubagne;CHAR;4
CODGEO;Code géographique;Code géographique;9311;Istres - Martigues;CHAR;4
CODGEO;Code géographique;Code géographique;9312;Salon-de-Provence;CHAR;4
CODGEO;Code géographique;Code géographique;9313;Draguignan;CHAR;4
CODGEO;Code géographique;Code géographique;9314;Fréjus - Saint-Raphaël;CHAR;4
CODGEO;Code géographique;Code géographique;9315;Toulon;CHAR;4
CODGEO;Code géographique;Code géographique;9316;Cavaillon - Apt;CHAR;4
CODGEO;Code géographique;Code géographique;9317;Orange;CHAR;4
CODGEO;Code géographique;Code géographique;9401;Ajaccio;CHAR;4
CODGEO;Code géographique;Code géographique;9402;Porto-Vecchio;CHAR;4
CODGEO;Code géographique;Code géographique;9403;Sartène - Propriano;CHAR;4
CODGEO;Code géographique;Code géographique;9404;Bastia;CHAR;4
CODGEO;Code géographique;Code géographique;9405;Calvi - L'Île-Rousse;CHAR;4
CODGEO;Code géographique;Code géographique;9406;Corte;CHAR;4
CODGEO;Code géographique;Code géographique;9407;Ghisonaccia - Aléria;CHAR;4
